,index,zoom,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
,26,18,148452,116432,148453,116432,148452,116433,148453,116433,148452,116434,148453,116434,148452,116435,148453,116435,148452,116436,148453,116436,148452,116437,148453,116437,
,27,18,148454,116432,148455,116432,148454,116433,148455,116433,148454,116434,148455,116434,148454,116435,148455,116435,148454,116436,148455,116436,148454,116437,148455,116437,
,28,18,148456,116432,148457,116432,148456,116433,148457,116433,148456,116434,148457,116434,148456,116435,148457,116435,148456,116436,148457,116436,148456,116437,148457,116437,
,29,18,148458,116432,148459,116432,148458,116433,148459,116433,148458,116434,148459,116434,148458,116435,148459,116435,148458,116436,148459,116436,148458,116437,148459,116437,
,30,18,148460,116432,148461,116432,148460,116433,148461,116433,148460,116434,148461,116434,148460,116435,148461,116435,148460,116436,148461,116436,148460,116437,148461,116437,
,31,18,148462,116432,148463,116432,148462,116433,148463,116433,148462,116434,148463,116434,148462,116435,148463,116435,148462,116436,148463,116436,148462,116437,148463,116437,
,32,18,148464,116432,148465,116432,148464,116433,148465,116433,148464,116434,148465,116434,148464,116435,148465,116435,148464,116436,148465,116436,148464,116437,148465,116437,
,33,18,148466,116432,148467,116432,148466,116433,148467,116433,148466,116434,148467,116434,148466,116435,148467,116435,148466,116436,148467,116436,148466,116437,148467,116437,
,34,18,148468,116432,148469,116432,148468,116433,148469,116433,148468,116434,148469,116434,148468,116435,148469,116435,148468,116436,148469,116436,148468,116437,148469,116437,
,35,18,148470,116432,148471,116432,148470,116433,148471,116433,148470,116434,148471,116434,148470,116435,148471,116435,148470,116436,148471,116436,148470,116437,148471,116437,
,36,18,148472,116432,148473,116432,148472,116433,148473,116433,148472,116434,148473,116434,148472,116435,148473,116435,148472,116436,148473,116436,148472,116437,148473,116437,
,37,18,148474,116432,148475,116432,148474,116433,148475,116433,148474,116434,148475,116434,148474,116435,148475,116435,148474,116436,148475,116436,148474,116437,148475,116437,
,38,18,148476,116432,148477,116432,148476,116433,148477,116433,148476,116434,148477,116434,148476,116435,148477,116435,148476,116436,148477,116436,148476,116437,148477,116437,
,39,18,148478,116432,148479,116432,148478,116433,148479,116433,148478,116434,148479,116434,148478,116435,148479,116435,148478,116436,148479,116436,148478,116437,148479,116437,
,40,18,148480,116432,148481,116432,148480,116433,148481,116433,148480,116434,148481,116434,148480,116435,148481,116435,148480,116436,148481,116436,148480,116437,148481,116437,
